
        300K IR Filter 1 ( 1/10): Band = 0.0e+00-1.0e+09 Hz, Iterations =  999 
        300K IR Filter 1 ( 6/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
        300K IR Filter 1 ( 7/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
        300K IR Filter 1 ( 5/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
        300K IR Filter 1 (10/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
        300K IR Filter 1 ( 9/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
  300K IR Filter Clamp 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
               80K Plate ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 3/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
    300K IR Filter Gap 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 2/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 1/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 5/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 4/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 6/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 8/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 1/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
     80K IR Filter Gap 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 7/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 9/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
80K DS IR Filter Clamp 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 2/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 4/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 9/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 8/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
     80K IR Filter Gap 2 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =   50 
     40K DS IR Blocker 1 ( 5/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   44 
      80K Al IR Filter 2 ( 3/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
80K Al IR Filter Clamp 2 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    0 
     40K DS IR Blocker 1 ( 4/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   42 
      80K Al IR Filter 2 ( 5/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 8/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   57 
      80K Al IR Filter 2 ( 7/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
       4K DS IR Filter 1 ( 1/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   83 
      80K Al IR Filter 2 (10/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 7/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   45 
     40K DS IR Blocker 1 ( 1/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   38 
     40K DS IR Blocker 1 ( 3/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   50 
       4K DS IR Filter 1 ( 4/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   50 
     40K DS IR Blocker 1 ( 6/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   58 
     40K DS IR Blocker 1 ( 9/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   85 
       4K DS IR Filter 1 ( 9/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   58 
       4K DS IR Filter 1 ( 3/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   54 
        40K Filter Gap 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  299 
    4K Low Pass Filter 1 ( 5/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   11 
       4K DS IR Filter 1 ( 2/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   54 
          1K LP Filter 1 ( 1/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
     40K DS IR Blocker 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  203 
       4K DS IR Filter 1 ( 5/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   87 
          1K LP Filter 1 ( 9/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
       4K DS IR Filter 1 ( 8/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   48 
 4K DS IR Filter Clamp 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  224 
             100mK plate ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
    4K Low Pass Filter 1 ( 1/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   15 
       100mK LP Filter 1 ( 7/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
    4K Low Pass Filter 1 ( 4/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   16 
       4K DS IR Filter 1 (10/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   69 
       4K DS IR Filter 1 ( 7/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   52 
    4K Low Pass Filter 1 ( 7/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   34 
    4K Low Pass Filter 1 ( 9/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   43 
       4K Baffled Tube 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
         4K Filter Gap 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
          1K LP Filter 1 ( 3/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
    4K Low Pass Filter 1 ( 6/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   18 
    4K Low Pass Filter 1 ( 3/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   26 
          1K LP Filter 1 ( 5/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
      80K DS IR Filter 1 (10/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
          1K LP Filter 1 ( 8/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
          1K LP Filter 1 ( 2/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
    1K LP Filter Clamp 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
    4K Low Pass Filter 1 ( 8/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   22 
           Lyot Stop Top ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
4K Low Pass Filter Clamp 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =   17 
           Lyot Stop Gap ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
          1K LP Filter 1 (10/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
       100mK LP Filter 1 ( 1/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
          1K LP Filter 1 ( 4/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
       100mK LP Filter 1 ( 3/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
          1K LP Filter 1 ( 7/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
       100mK LP Filter 1 ( 6/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
     100mK LP Filter Gap ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
       100mK LP Filter 1 ( 9/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
      1K LP Filter Gap 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
        Lyot Stop Bottom ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
 100mK LP Filter Clamp 1 ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
       100mK LP Filter 1 ( 8/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
       100mK LP Filter 1 ( 5/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
       100mK LP Filter 1 ( 2/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
       100mK LP Filter 1 (10/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
            Array Module ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    1 
      80K Al IR Filter 2 ( 6/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 2/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   45 
     40K DS IR Blocker 1 (10/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   80 
       4K DS IR Filter 1 ( 6/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   73 
    4K Low Pass Filter 1 ( 2/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   32 
    4K Low Pass Filter 1 (10/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =   28 
          1K LP Filter 1 ( 6/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    4 
        Lyot Stop Middle ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    3 
       100mK LP Filter 1 ( 4/10): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 
     100mK LP Filter Gap ( 1/ 1): Band = 1.0e+13-1.0e+14 Hz, Iterations =    2 

                  Window ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      Incident Radiation ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
             Front Plate ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
            Window Clamp ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 1/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 4/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 2/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 3/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 8/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 6/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 7/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 5/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 ( 9/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
        300K IR Filter 1 (10/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
  300K IR Filter Clamp 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
               80K Plate ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 3/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
    300K IR Filter Gap 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 1/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 2/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 5/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 4/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 6/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 8/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 1/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
     80K IR Filter Gap 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 7/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 9/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
80K DS IR Filter Clamp 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 2/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 4/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 9/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 8/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
     80K IR Filter Gap 2 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =   22 
     40K DS IR Blocker 1 ( 4/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   38 
     40K DS IR Blocker 1 ( 5/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   93 
      80K Al IR Filter 2 ( 3/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 8/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   77 
      80K Al IR Filter 2 ( 5/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
80K Al IR Filter Clamp 2 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    0 
      80K Al IR Filter 2 ( 7/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 1/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   34 
       4K DS IR Filter 1 ( 1/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   34 
     40K DS IR Blocker 1 ( 7/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   53 
       4K DS IR Filter 1 ( 4/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   41 
      80K Al IR Filter 2 (10/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 3/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   42 
     40K DS IR Blocker 1 ( 9/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   39 
        40K Filter Gap 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  195 
     40K DS IR Blocker 1 ( 6/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   61 
       4K DS IR Filter 1 ( 9/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   58 
       4K DS IR Filter 1 ( 3/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   63 
         4K Filter Gap 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  213 
    4K Low Pass Filter 1 ( 5/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   17 
       4K DS IR Filter 1 ( 5/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   43 
       4K DS IR Filter 1 ( 8/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   62 
    4K Low Pass Filter 1 ( 8/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   22 
          1K LP Filter 1 ( 1/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    6 
     40K DS IR Blocker 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  194 
    4K Low Pass Filter 1 ( 1/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   22 
       4K DS IR Filter 1 ( 2/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   99 
    4K Low Pass Filter 1 ( 4/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   26 
 4K DS IR Filter Clamp 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =  153 
          1K LP Filter 1 ( 4/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    6 
          1K LP Filter 1 ( 9/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    5 
       4K Baffled Tube 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    7 
    4K Low Pass Filter 1 ( 9/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   23 
             100mK plate ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    3 
    4K Low Pass Filter 1 ( 7/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   11 
      1K LP Filter Gap 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    2 
          1K LP Filter 1 ( 8/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    7 
          1K LP Filter 1 ( 5/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    6 
       4K DS IR Filter 1 ( 7/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   62 
       100mK LP Filter 1 ( 7/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
          1K LP Filter 1 ( 3/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    8 
       100mK LP Filter 1 ( 2/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
       4K DS IR Filter 1 (10/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   69 
           Lyot Stop Gap ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    3 
           Lyot Stop Top ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
       100mK LP Filter 1 (10/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    3 
    4K Low Pass Filter 1 ( 3/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   12 
    1K LP Filter Clamp 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
      80K DS IR Filter 1 (10/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
       100mK LP Filter 1 ( 6/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
       100mK LP Filter 1 ( 3/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    5 
    4K Low Pass Filter 1 ( 6/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   16 
       100mK LP Filter 1 ( 1/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
4K Low Pass Filter Clamp 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =   35 
          1K LP Filter 1 ( 2/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    6 
 100mK LP Filter Clamp 1 ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    3 
       100mK LP Filter 1 ( 9/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
          1K LP Filter 1 ( 7/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    8 
          1K LP Filter 1 (10/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    5 
        Lyot Stop Bottom ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
     100mK LP Filter Gap ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    3 
       100mK LP Filter 1 ( 5/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    3 
       100mK LP Filter 1 ( 8/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    3 
            Array Module ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    1 
      80K Al IR Filter 2 ( 6/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 2/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   28 
     40K DS IR Blocker 1 (10/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   64 
       4K DS IR Filter 1 ( 6/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   45 
    4K Low Pass Filter 1 ( 2/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   27 
    4K Low Pass Filter 1 (10/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =   34 
          1K LP Filter 1 ( 6/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    6 
        Lyot Stop Middle ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
       100mK LP Filter 1 ( 4/10): Band = 1.0e+14-1.0e+15 Hz, Iterations =    4 
     100mK LP Filter Gap ( 1/ 1): Band = 1.0e+14-1.0e+15 Hz, Iterations =    3 

                  Window ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      Incident Radiation ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
             Front Plate ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
            Window Clamp ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 3/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 1/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 4/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 2/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 8/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 6/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 5/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 7/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 (10/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
        300K IR Filter 1 ( 9/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
  300K IR Filter Clamp 1 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
               80K Plate ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 3/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
    300K IR Filter Gap 1 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 1/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 2/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 5/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 4/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 6/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 8/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 1/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
     80K IR Filter Gap 1 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 9/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K DS IR Filter 1 ( 7/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
80K DS IR Filter Clamp 1 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 2/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 4/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 9/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 8/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
     80K IR Filter Gap 2 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =   34 
     40K DS IR Blocker 1 ( 5/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   41 
     40K DS IR Blocker 1 ( 4/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   85 
      80K Al IR Filter 2 ( 7/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 5/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
      80K Al IR Filter 2 ( 3/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 8/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   65 
80K Al IR Filter Clamp 2 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =    0 
     40K DS IR Blocker 1 ( 1/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   54 
     40K DS IR Blocker 1 ( 3/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   55 
       4K DS IR Filter 1 ( 1/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   42 
      80K Al IR Filter 2 (10/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  999 
     40K DS IR Blocker 1 ( 7/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   52 
       4K DS IR Filter 1 ( 4/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   60 
     40K DS IR Blocker 1 ( 9/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   78 
     40K DS IR Blocker 1 ( 6/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   97 
       4K DS IR Filter 1 ( 9/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   51 
        40K Filter Gap 1 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  203 
       4K DS IR Filter 1 ( 3/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   40 
     40K DS IR Blocker 1 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  190 
         4K Filter Gap 1 ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =  175 
    4K Low Pass Filter 1 ( 5/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   16 
       4K DS IR Filter 1 ( 5/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   40 
       4K DS IR Filter 1 ( 2/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   48 
          1K LP Filter 1 ( 1/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =    6 
    4K Low Pass Filter 1 ( 8/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   37 
    4K Low Pass Filter 1 ( 1/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   14 
       4K DS IR Filter 1 ( 8/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   65 
          1K LP Filter 1 ( 9/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =    6 
          1K LP Filter 1 ( 4/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =    7 
             100mK plate ( 1/ 1): Band = 1.0e+15-1.0e+16 Hz, Iterations =    2 
       4K DS IR Filter 1 ( 7/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =  134 
    4K Low Pass Filter 1 ( 4/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   14 
    4K Low Pass Filter 1 ( 9/10): Band = 1.0e+15-1.0e+16 Hz, Iterations =   31 
